"ENTITY_CD","ENTITY_NAME","YEAR","NUM_FREE_LUNCH","PER_FREE_LUNCH","NUM_REDUCED_LUNCH","PER_REDUCED_LUNCH"
"342800010099","PS 99 KEW GARDENS","2018","489","62","42","5"
"342800010101","PS 101 SCHOOL IN THE GARDENS","2018","104","16","21","3"
"342800010117","PS 117 J KELD/BRIARWOOD SCHOOL","2018","569","60","7","1"
"342800010121","PS 121","2018","666","74","77","9"
"342800010139","PS 139 REGO PARK","2018","417","56","55","7"
"342800010140","PS 140 EDWARD K ELLINGTON","2018","394","89","14","3"
"342800010144","PS 144 COL JEROMUS REMSEN","2018","170","20","22","3"
"342800010157","JHS 157 STEPHEN A HALSEY","2018","800","49","97","6"
"342800010160","PS 160 WALTER FRANCIS BISHOP","2018","488","84","14","2"
"342800010161","PS 161 ARTHUR ASHE SCHOOL","2018","518","79","34","5"
"342800010174","PS 174 WILLIAM SIDNEY MOUNT","2018","209","33","28","4"
"342800010175","PS 175 LYNN GROSS DISCOVERY SCHOOL (THE)","2018","392","52","61","8"
"342800010182","PS 182 SAMANTHA SMITH","2018","694","91","40","5"
"342800010190","JHS 190 RUSSELL SAGE","2018","431","41","33","3"
"342800010196","PS 196 GRAND CENTRAL PARKWAY","2018","199","20","41","4"
"342800010206","PS 206 HORACE HARDING SCHOOL (THE)","2018","421","73","33","6"
"342800010217","JHS 217 ROBERT A VAN WYCK","2018","1121","69","36","2"
"342800010220","PS 220 EDWARD MANDEL","2018","454","67","45","7"
"342800010287","EMERSON SCHOOL (THE)","2018","297","82","15","4"
"342800010303","ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)","2018","35","21","8","5"
"342800010312","JAMAICA CHILDREN'S SCHOOL","2018","134","88","8","5"
"342800010332","REDWOOD MIDDLE SCHOOL","2018","201","64","18","6"
"342800010349","QUEENS SCHOOL FOR LEADERSHIP (THE)","2018","230","82","17","6"
"342800010354","PS 354","2018","440","74","28","5"
"342800010358","MS 358","2018","314","82","26","7"
"342800011167","METROPOLITAN EXPEDITIONARY LEARNING SCHOOL","2018","517","61","88","10"
"342800011284","YORK EARLY COLLEGE ACADEMY","2018","410","64","64","10"
"342800011310","QUEENS COLLEGIATE - A COLLEGE BOARD SCHOOL","2018","535","80","55","8"
"342800011325","HILLSIDE ARTS AND LETTERS ACADEMY","2018","353","75","28","6"
"342800011328","HIGH SCHOOL FOR COMMUNITY LEADERSHIP","2018","343","74","40","9"
"342800011338","QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY","2018","155","83","12","6"
"342800011350","JAMAICA GATEWAY TO THE SCIENCES","2018","354","70","26","5"
"342800011440","FOREST HILLS HIGH SCHOOL","2018","2453","65","344","9"
"342800011505","HILLCREST HIGH SCHOOL","2018","2568","77","213","6"
"342800011620","THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL","2018","1512","71","220","10"
"342800011680","QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL","2018","392","57","44","6"
"342800011686","QUEENS METROPOLITAN HIGH SCHOOL","2018","564","52","103","9"
"342800011687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE","2018","260","55","46","10"
"342800011690","HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY","2018","347","71","15","3"
"342800011896","YOUNG WOMEN'S LEADERSHIP SCHOOL OF QUEENS","2018","389","69","58","10"
"342800860824","GROWING UP GREEN CHARTER SCHOOL II","2018","189","74","32","13"
"342800860969","ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL","2018","165","58","25","9"
"342900010000","NEW YORK CITY GEOGRAPHIC DISTRICT #29","2018","17910","71","1477","6"
"342900010015","PS 15 JACKIE ROBINSON","2018","292","73","19","5"
"342900010033","PS 33 EDWARD M FUNK","2018","693","71","97","10"
"342900010034","PS 34 JOHN HARVARD","2018","448","83","42","8"
"342900010035","PS 35 NATHANIEL WOODHULL","2018","578","85","39","6"
"342900010036","PS 36 ST ALBANS SCHOOL","2018","319","71","1","0"
"342900010037","CYNTHIA JENKINS SCHOOL","2018","318","77","12","3"
"342900010038","PS 38 ROSEDALE","2018","186","69","25","9"
"342900010052","PS 52","2018","333","74","2","0"
"342900010059","IS 59 SPRINGFIELD GARDENS","2018","422","72","26","4"
"342900010095","PS 95 EASTWOOD","2018","1106","74","20","1"
"342900010109","JEAN NUZZI INTERMEDIATE SCHOOL","2018","683","62","61","5"
"342900010116","PS/IS 116 WILLIAM C HUGHLEY","2018","586","79","3","0"
"342900010118","PS 118 LORRAINE HANSBERRY","2018","302","73","6","1"
"342900010131","PS 131 ABIGAIL ADAMS","2018","684","84","58","7"
"342900010132","PS 132 RALPH BUNCHE","2018","271","76","26","7"
"342900010134","PS 134 HOLLIS","2018","282","80","20","6"
"342900010135","BELLAIRE SCHOOL (THE)","2018","522","59","9","1"
"342900010136","PS 136 ROY WILKINS","2018","442","77","20","3"
"342900010138","PS/MS 138 SUNRISE","2018","536","75","34","5"
"342900010147","PS/MS 147 RONALD MCNAIR","2018","381","68","38","7"
"342900010156","PS 156 LAURELTON","2018","176","71","10","4"
"342900010176","PS 176 CAMBRIA HEIGHTS","2018","458","68","53","8"
"342900010181","PS 181 BROOKFIELD","2018","217","70","14","4"
"342900010192","IS 192 LINDEN (THE)","2018","348","70","22","4"
"342900010195","PS 195 WILLIAM HABERLE","2018","381","75","50","10"
"342900010208","PS/IS 208","2018","249","35","85","12"
"342900010238","IS 238 SUSAN B ANTHONY ACADEMY","2018","1169","84","86","6"
"342900010251","PS 251","2018","200","64","38","12"
"342900010268","PS/IS 268","2018","468","74","33","5"
"342900010270","GORDON PARKS SCHOOL (THE)","2018","408","55","92","12"
"342900010289","QUEENS UNITED MIDDLE SCHOOL","2018","137","67","15","7"
"342900010295","PS/IS 295","2018","338","70","35","7"
"342900010355","COLLABORATIVE ARTS MIDDLE SCHOOL","2018","222","73","17","6"
"342900010356","COMMUNITY VOICES MIDDLE SCHOOL","2018","214","70","7","2"
"342900010360","PS 360","2018","83","54","13","8"
"342900011243","INSTITUTE FOR HEALTH PROFESSIONALS AT CAMBRIA HEIGHTS","2018","301","72","19","5"
"342900011248","QUEENS PREPARATORY ACADEMY","2018","299","75","21","5"
"342900011259","PATHWAYS COLLEGE PREPARATORY SCHOOL:  A COLLEGE BOARD SCHOOL","2018","368","63","67","12"
"342900011265","EXCELSIOR PREPARATORTY HIGH SCHOOL","2018","313","66","22","5"
"342900011272","GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES","2018","315","69","19","4"
"342900011283","PREPARATORY ACADEMY FOR WRITERS:  A COLLEGE BOARD SCHOOL","2018","362","63","39","7"
"342900011313","BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY","2018","304","77","29","7"
"342900011326","CAMBRIA HEIGHTS ACADEMY","2018","237","67","27","8"
"342900011327","EAGLE ACADEMY FOR YOUNG MEN III","2018","332","63","54","10"
"342900011492","MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS","2018","276","72","20","5"
"342900011498","HUMANITIES AND ARTS MAGNET HIGH SCHOOL","2018","351","77","32","7"
"342900860821","MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL","2018","314","57","36","7"
"342900860974","RIVERTON STREET CHARTER SCHOOL","2018","620","66","147","16"
"342900861077","SUCCESS ACADEMY CS - ROSEDALE","2018","250","50","57","11"
"342900861078","SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD","2018","298","62","51","11"
"343000010000","NEW YORK CITY GEOGRAPHIC DISTRICT #30","2018","26589","70","1512","4"
"343000010002","PS 2 ALFRED ZIMBERG","2018","367","65","47","8"
"343000010010","IS 10 HORACE GREELEY","2018","556","75","17","2"
"343000010011","PS 11 KATHRYN PHELAN","2018","687","67","17","2"
"343000010017","PS 17 HENRY DAVID THOREAU","2018","371","75","0","0"
"343000010069","PS 69 JACKSON HEIGHTS","2018","598","61","21","2"
"343000010070","PS 70","2018","617","78","38","5"
"343000010076","PS 76 WILLIAM HALLETT","2018","325","79","0","0"
"343000010078","PS/IS 78","2018","168","25","19","3"
"343000010084","PS 84 STEINWAY","2018","130","58","2","1"
"343000010085","PS 85 JUDGE CHARLES VALLONE","2018","247","42","8","1"
"343000010092","PS 92 HARRY T STEWART SR","2018","696","83","2","0"
"343000010111","PS 111 JACOB BLACKWELL","2018","276","96","0","0"
"343000010112","PS 112 DUTCH KILLS","2018","362","84","4","1"
"343000010122","PS 122 MAMIE FAY","2018","632","48","72","5"
"343000010126","ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS","2018","538","82","35","5"
"343000010127","PS 127 AEROSPACE SCIENCE MAGNET","2018","1037","82","44","3"
"343000010141","IS 141 STEINWAY (THE)","2018","641","58","41","4"
"343000010145","IS 145 JOSEPH PULITZER","2018","1534","90","73","4"
"343000010148","PS 148","2018","675","80","9","1"
"343000010149","PS 149 CHRISTA MCAULIFFE","2018","809","77","13","1"
"343000010150","PS 150","2018","572","55","5","0"
"343000010151","PS 151 MARY D CARTER","2018","311","89","19","5"
"343000010152","PS 152 GWENDOLYN N ALLEYNE SCHOOL","2018","803","76","7","1"
"343000010166","PS 166 HENRY GRADSTEIN","2018","648","62","68","7"
"343000010171","PS 171 PETER G VAN ALST","2018","403","89","16","4"
"343000010204","IS 204 OLIVER W HOLMES","2018","429","89","12","2"
"343000010212","PS 212","2018","440","59","12","2"
"343000010222","PS 222-FIRE FIGHTER CHRISTOPHER A SANTORA SCHOOL","2018","175","72","15","6"
"343000010228","PS 228 EARLY CHILDHOOD MAGNET SCHOOL FOR THE ARTS","2018","235","85","12","4"
"343000010230","IS 230","2018","976","76","86","7"
"343000010234","PS 234","2018","381","79","22","5"
"343000010235","ACADEMY FOR NEW AMERICANS","2018","90","93","3","3"
"343000010280","PS 280","2018","633","92","19","3"
"343000010291","HUNTERS POINT COMMUNITY MIDDLE SCHOOL","2018","216","51","13","3"
"343000010300","30TH AVENUE SCHOOL (THE)","2018","96","22","25","6"
"343000010329","EAST ELMHURST COMMUNITY SCHOOL","2018","330","86","29","8"
"343000010361","WOODSIDE COMMUNITY SCHOOL (THE)","2018","155","74","13","6"
"343000011227","IS 227 LOUIS ARMSTRONG","2018","1063","67","109","7"
"343000011258","ENERGY TECH HIGH SCHOOL","2018","331","65","58","11"
"343000011286","YOUNG WOMENS LEADERSHIP SCHOOL","2018","453","81","29","5"
"343000011301","ACADEMY FOR CAREERS IN TELEVISION AND FILM","2018","271","48","18","3"
"343000011445","WILLIAM CULLEN BRYANT HIGH SCHOOL","2018","1882","80","139","6"
"343000011450","LONG ISLAND CITY HIGH SCHOOL","2018","1749","78","63","3"
"343000011501","FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL","2018","299","36","45","5"
"343000011502","INFORMATION TECHNOLOGY HIGH SCHOOL","2018","801","80","49","5"
"343000011555","NEWCOMERS HIGH SCHOOL","2018","781","88","27","3"
"343000011575","ACADEMY OF AMERICAN STUDIES","2018","597","59","104","10"
"343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","2018","203","38","33","6"
"343000860822","RENAISSANCE CHARTER SCHOOL (THE)","2018","320","59","97","18"
"343000860836","OUR WORLD NEIGHBORHOOD CHARTER SCHOOL","2018","473","65","78","11"
"343000860932","VOICE CHARTER SCHOOL OF NEW YORK","2018","492","72","68","10"
"343000860952","GROWING UP GREEN CHARTER SCHOOL","2018","400","47","53","6"
"343000860998","ACADEMY OF THE CITY CHARTER SCHOOL","2018","255","63","45","11"
"353100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #31","2018","31025","53","2974","5"
"353100010001","PS 1 TOTTENVILLE","2018","157","37","16","4"
"353100010002","IS 2 GEORGE L EGBERT","2018","640","66","55","6"
"353100010003","PS 3 MARGARET GIOIOSA SCHOOL (THE)","2018","197","26","32","4"
"353100010004","PS 4 MAURICE WOLLIN","2018","246","36","13","2"
"353100010005","PS 5 HUGUENOT","2018","62","21","12","4"
"353100010006","PS 6 CPL ALLAN F KIVLEHAN SCHOOL","2018","172","34","25","5"
"353100010007","IS 7 ELIAS BERNSTEIN","2018","349","30","83","7"
"353100010008","PS 8 SHIRLEE SOLOMON","2018","185","32","27","5"
"353100010009","NAPLES STREET ELEMENTARY SCHOOL","2018","101","39","8","3"
"353100010010","FORT HILL COLLABORATIVE ELEMENTARY SCHOOL","2018","148","89","1","1"
"353100010011","PS 11 THOMAS DONGAN SCHOOL","2018","202","71","9","3"
"353100010013","PS 13 M L LINDENMEYER","2018","546","64","14","2"
"353100010016","PS 16 JOHN J DRISCOLL","2018","457","96","9","2"
"353100010018","PS 18 JOHN G WHITTIER","2018","483","91","3","1"
"353100010019","PS 19 CURTIS SCHOOL (THE)","2018","463","83","14","3"
"353100010020","PS 20 PORT RICHMOND","2018","422","93","15","3"
"353100010021","PS 21 MARGARET EMERY-ELM PARK","2018","289","79","6","2"
"353100010022","PS 22 GRANITEVILLE","2018","789","83","48","5"
"353100010023","PS 23 RICHMONDTOWN","2018","176","33","21","4"
"353100010024","IS 24 MYRA S BARNES","2018","472","37","86","7"
"353100010026","PS 26 CARTERET SCHOOL (THE)","2018","115","47","8","3"
"353100010027","IS 27 ANNING S PRALL","2018","685","68","52","5"
"353100010028","EAGLE ACADEMY OF STATEN ISLAND","2018","197","78","17","7"
"353100010029","PS 29 BARDWELL","2018","294","47","37","6"
"353100010030","PS 30 WESTERLEIGH","2018","257","32","36","4"
"353100010031","PS 31 WILLIAM T DAVIS","2018","333","91","1","0"
"353100010032","PS 32 GIFFORD SCHOOL (THE)","2018","193","31","18","3"
"353100010034","IS 34 TOTTENVILLE","2018","311","29","64","6"
"353100010035","PS 35 CLOVE VALLEY SCHOOL (THE)","2018","142","36","13","3"
"353100010036","PS 36 J C DRUMGOOLE","2018","236","30","37","5"
"353100010038","PS 38 GEORGE CROMWELL","2018","212","62","28","8"
"353100010039","PS 39 FRANCIS J MURPHY JR","2018","343","64","24","4"
"353100010041","PS 41 NEW DORP","2018","388","60","51","8"
"353100010042","PS 42 ELTINGVILLE","2018","305","31","61","6"
"353100010044","PS 44 THOMAS C BROWN","2018","737","92","21","3"
"353100010045","PS 45 JOHN TYLER","2018","561","67","43","5"
"353100010046","PS 46 ALBERT V MANISCALCO","2018","195","77","14","6"
"353100010048","PS 48 WILLIAM C WILCOX","2018","346","36","60","6"
"353100010049","IS 49 BERTHA A DREYFUS","2018","574","92","17","3"
"353100010050","PS 50 FRANK HANKINSON","2018","261","35","38","5"
"353100010051","IS 51 EDWIN MARKHAM","2018","971","74","56","4"
"353100010052","PS 52 JOHN C THOMPSON","2018","271","58","40","9"
"353100010053","PS 53 BAY TERRACE","2018","242","32","53","7"
"353100010054","PS 54 CHARLES W LENG","2018","391","53","51","7"
"353100010055","PS 55 HENRY M BOEHM","2018","184","33","26","5"
"353100010056","PS 56 LOUIS DESARIO SCHOOL (THE)","2018","161","30","46","8"
"353100010057","PS 57 HUBERT H HUMPHREY","2018","562","87","2","0"
"353100010058","SPACE SHUTTLE COLUMBIA SCHOOL","2018","300","47","36","6"
"353100010059","HARBOR VIEW SCHOOL (THE)","2018","132","58","15","7"
"353100010060","PS 60 ALICE AUSTEN","2018","431","51","62","7"
"353100010061","IS 61 WILLIAM A MORRIS","2018","780","79","35","4"
"353100010062","KATHLEEN GRIMM SCHOOL FOR LEADERSHIP","2018","51","26","5","3"
"353100010063","MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING","2018","147","32","32","7"
"353100010065","PS 65 ACADEMY OF INNOVATIVE LEARNING (THE)","2018","209","53","30","8"
"353100010068","PORT RICHMOND SCHOOL FOR VISIONARY","2018","86","74","7","6"
"353100010069","PS 69 DANIEL D TOMPKINS","2018","470","51","62","7"
"353100010072","IS 72 ROCCO LAURIE","2018","811","58","99","7"
"353100010074","PS 74 FUTURE LEADERS ELEMENTARY SCHOOL","2018","282","90","4","1"
"353100010075","IS 75 FRANK D PAULO","2018","451","33","80","6"
"353100010078","PS 78","2018","774","95","12","1"
"353100010861","STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP","2018","623","71","69","8"
"353100011047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES","2018","193","39","46","9"
"353100011064","GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL","2018","164","37","38","9"
"353100011080","MICHAEL J PETRIDES SCHOOL (THE)","2018","531","42","86","7"
"353100011440","NEW DORP HIGH SCHOOL","2018","1652","55","168","6"
"353100011445","PORT RICHMOND HIGH SCHOOL","2018","1074","70","68","4"
"353100011450","CURTIS HIGH SCHOOL","2018","1875","73","112","4"
"353100011455","TOTTENVILLE HIGH SCHOOL","2018","1214","32","189","5"
"353100011460","SUSAN E WAGNER HIGH SCHOOL","2018","1676","51","164","5"
"353100011470","CONCORD HIGH SCHOOL","2018","115","70","4","2"
"353100011600","RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","2018","527","66","18","2"
"353100011605","STATEN ISLAND TECHNICAL HIGH SCHOOL","2018","434","33","122","9"
"353100860959","JOHN W LAVELLE PREPARATORY CHARTER SCHOOL","2018","481","69","8","1"
"353100860984","NEW WORLD PREPARATORY CHARTER SCHOOL","2018","348","92","6","2"
"353100861083","NEW VENTURES CHARTER SCHOOL","2018","62","57","1","1"
"400301060000","LEWISTON-PORTER CENTRAL SCHOOL DISTRICT","2018","380","19","49","2"
"400301060002","PRIMARY EDUCATION CENTER","2018","80","19","14","3"
"400301060003","INTERMEDIATE EDUCATION CENTER","2018","88","22","12","3"
"400301060005","LEWISTON PORTER MIDDLE SCHOOL","2018","87","19","9","2"
"400301060006","LEWISTON PORTER SENIOR HIGH SCHOOL","2018","125","18","14","2"
"400400010000","LOCKPORT CITY SCHOOL DISTRICT","2018","2119","47","243","5"
"400400010001","ANNA MERRITT ELEMENTARY SCHOOL","2018","193","58","18","5"
"400400010002","CHARLES A UPSON ELEMENTARY SCHOOL","2018","237","51","21","5"
"400400010005","GEORGE SOUTHARD ELEMENTARY SCHOOL","2018","187","43","21","5"
"400400010007","ROY KELLEY ELEMENTARY SCHOOL","2018","215","47","22","5"
"400400010009","EMMET BELKNAP INTERMEDIATE SCHOOL","2018","348","51","55","8"
"400400010010","NORTH PARK JUNIOR HIGH SCHOOL","2018","316","49","42","7"
"400400010011","LOCKPORT HIGH SCHOOL","2018","623","43","64","4"
"400601060000","NEWFANE CENTRAL SCHOOL DISTRICT","2018","550","38","113","8"
"400601060001","NEWFANE EARLY CHILDHOOD CENTER","2018","0","0","0","0"
"400601060002","NEWFANE ELEMENTARY SCHOOL","2018","226","47","36","8"
"400601060006","NEWFANE SENIOR HIGH SCHOOL","2018","168","31","44","8"
"400601060008","NEWFANE MIDDLE SCHOOL","2018","156","35","33","7"
"400701060000","NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT","2018","1130","32","201","6"
"400701060002","WEST STREET ELEMENTARY SCHOOL","2018","145","34","37","9"
"400701060003","TUSCARORA ELEMENTARY SCHOOL","2018","55","66","10","12"
"400701060004","COLONIAL VILLAGE ELEMENTARY SCHOOL","2018","198","50","30","8"
"400701060005","ERRICK ROAD ELEMENTARY SCHOOL","2018","89","18","21","4"
"400701060009","EDWARD TOWN MIDDLE SCHOOL","2018","263","31","48","6"
"400701060010","NIAGARA-WHEATFIELD SENIOR HIGH SCHOOL","2018","380","30","55","4"
"400701860890","NIAGARA CHARTER SCHOOL","2018","283","82","28","8"
"400800010000","NIAGARA FALLS CITY SCHOOL DISTRICT","2018","4582","69","237","4"
"400800010010","SEVENTY NINTH STREET SCHOOL","2018","242","61","10","3"
"400800010012","GERALDINE J MANN SCHOOL","2018","244","55","20","5"
"400800010015","HENRY J KALFAS MAGNET SCHOOL","2018","292","84","4","1"
"400800010020","HYDE PARK SCHOOL","2018","366","80","21","5"
"400800010021","MAPLE AVENUE SCHOOL","2018","167","57","14","5"
"400800010022","NIAGARA STREET SCHOOL","2018","450","79","20","4"
"400800010031","HARRY F ABATE ELEMENTARY SCHOOL","2018","510","81","19","3"
"400800010034","NIAGARA FALLS HIGH SCHOOL","2018","1222","61","68","3"
"400800010040","GASKILL PREPARATORY SCHOOL","2018","370","74","17","3"
"400800010041","LASALLE PREPARATORY SCHOOL","2018","372","67","29","5"
"400800010042","CATARACT ELEMENTARY SCHOOL","2018","347","75","15","3"
"400900010000","NORTH TONAWANDA CITY SCHOOL DISTRICT","2018","1344","40","181","5"
"400900010003","DRAKE SCHOOL","2018","129","43","13","4"
"400900010007","MEADOW SCHOOL","2018","289","51","39","7"
"400900010008","OHIO ELEMENTARY SCHOOL","2018","144","29","22","4"
"400900010009","SPRUCE SCHOOL","2018","220","56","15","4"
"400900010011","NORTH TONAWANDA HIGH SCHOOL","2018","362","34","58","5"
"400900010012","NORTH TONAWANDA MIDDLE SCHOOL","2018","200","39","34","7"
"401001060000","STARPOINT CENTRAL SCHOOL DISTRICT","2018","449","16","72","3"
"401001060001","STARPOINT HIGH SCHOOL","2018","131","16","23","3"
"401001060002","REGAN INTERMEDIATE SCHOOL","2018","102","16","19","3"
"401001060003","FRICANO PRIMARY SCHOOL","2018","102","16","14","2"
"401001060004","STARPOINT MIDDLE SCHOOL","2018","114","17","16","2"
"401201060000","ROYALTON-HARTLAND CENTRAL SCHOOL DISTRICT","2018","371","30","81","7"
"401201060001","ROYALTON-HARTLAND ELEMENTARY SCHOOL","2018","156","36","23","5"
"401201060003","ROYALTON-HARTLAND HIGH SCHOOL","2018","107","26","26","6"
"401201060004","ROYALTON-HARTLAND MIDDLE SCHOOL","2018","108","30","32","9"
"401301040000","BARKER CENTRAL SCHOOL DISTRICT","2018","309","42","51","7"
"401301040002","PRATT ELEMENTARY SCHOOL","2018","173","46","23","6"
"401301040003","BARKER JUNIOR/SENIOR HIGH SCHOOL","2018","136","38","28","8"
"401501060000","WILSON CENTRAL SCHOOL DISTRICT","2018","369","33","91","8"
"401501060002","WILSON ELEMENTARY SCHOOL","2018","179","39","55","12"
"401501060003","WILSON HIGH SCHOOL","2018","190","29","36","6"
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT","2018","483","40","99","8"
"410401060001","ADIRONDACK MIDDLE SCHOOL","2018","106","42","27","11"
"410401060002","WEST LEYDEN ELEMENTARY SCHOOL","2018","61","49","13","10"
"410401060003","FORESTPORT ELEMENTARY SCHOOL","2018","36","44","5","6"
"410401060004","BOONVILLE ELEMENTARY SCHOOL","2018","139","41","28","8"
"410401060005","ADIRONDACK HIGH SCHOOL","2018","141","35","26","6"
"410601040000","CAMDEN CENTRAL SCHOOL DISTRICT","2018","941","47","153","8"
"410601040002","MCCONNELLSVILLE ELEMENTARY SCHOOL","2018","118","48","18","7"
"410601040004","ANNSVILLE AREA SCHOOL","2018","66","48","9","7"
"410601040006","CAMDEN SENIOR HIGH SCHOOL","2018","262","43","54","9"
"410601040007","CAMDEN ELEMENTARY SCHOOL","2018","166","47","19","5"
"410601040010","CAMDEN MIDDLE SCHOOL","2018","329","49","53","8"
"411101060000","CLINTON CENTRAL SCHOOL DISTRICT","2018","302","23","45","3"
"411101060001","CLINTON ELEMENTARY SCHOOL","2018","150","26","21","4"
"411101060004","CLINTON MIDDLE SCHOOL","2018","71","22","12","4"
"411101060005","CLINTON SENIOR HIGH SCHOOL","2018","81","21","12","3"
"411501060000","NEW HARTFORD CENTRAL SCHOOL DISTRICT","2018","286","12","64","3"
"411501060001","NEW HARTFORD SENIOR HIGH SCHOOL","2018","67","12","15","3"
"411501060003","HUGHES ELEMENTARY SCHOOL","2018","36","8","7","1"
"411501060004","ROBERT L BRADLEY ELEMENTARY SCHOOL","2018","38","8","12","3"
"411501060005","MYLES ELEMENTARY SCHOOL","2018","85","22","17","4"
"411501060006","PERRY JUNIOR HIGH SCHOOL","2018","60","10","13","2"
"411504020000","NEW YORK MILLS UNION FREE SCHOOL DISTRICT","2018","179","33","49","9"
"411504020001","NEW YORK MILLS JUNIOR-SENIOR HIGH SCHOOL","2018","71","29","20","8"
"411504020003","NEW YORK MILLS ELEMENTARY SCHOOL","2018","108","37","29","10"
"411603040000","SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT","2018","338","34","50","5"
"411603040001","SAUQUOIT VALLEY ELEMENTARY SCHOOL","2018","143","36","24","6"
"411603040003","SAUQUOIT VALLEY HIGH SCHOOL","2018","79","27","14","5"
"411603040004","SAUQUOIT VALLEY MIDDLE SCHOOL","2018","116","38","12","4"
"411701040000","REMSEN CENTRAL SCHOOL DISTRICT","2018","169","43","33","8"
"411701040001","REMSEN ELEMENTARY SCHOOL","2018","91","44","18","9"
"411701040002","REMSEN JUNIOR-SENIOR HIGH SCHOOL","2018","78","42","15","8"
"411800010000","ROME CITY SCHOOL DISTRICT","2018","3009","57","285","5"
"411800010001","GANSEVOORT ELEMENTARY SCHOOL","2018","253","80","16","5"
"411800010008","BELLAMY ELEMENTARY SCHOOL","2018","349","79","23","5"
"411800010010","LYNDON H STROUGH MIDDLE SCHOOL","2018","425","56","38","5"
"411800010011","CLOUGH PREK CENTER","2018","0","0","0","0"
"411800010013","RIDGE MILLS ELEMENTARY SCHOOL","2018","90","25","17","5"
"411800010014","STOKES ELEMENTARY SCHOOL","2018","92","29","25","8"
"411800010015","JOHN E JOY ELEMENTARY SCHOOL","2018","183","53","27","8"
"411800010020","ROME FREE ACADEMY","2018","720","49","70","5"
"411800010023","LOUIS V DENTI ELEMENTARY SCHOOL","2018","319","60","40","7"
"411800010025","GEORGE R STALEY UPPER ELEMENTARY SCHOOL","2018","578","78","29","4"
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT","2018","274","37","63","9"
"411902040001","MEMORIAL PARK ELEMENTARY SCHOOL","2018","169","42","44","11"
"411902040003","WATERVILLE JR/SR HIGH SCHOOL","2018","105","31","19","6"
"412000050000","SHERRILL CITY SCHOOL DISTRICT","2018","625","34","105","6"
"412000050001","J D GEORGE ELEMENTARY SCHOOL","2018","181","43","24","6"
"412000050004","VERNON-VERONA-SHERRILL SENIOR HIGH SCHOOL","2018","169","30","25","4"
"412000050005","W A WETTEL ELEMENTARY SCHOOL","2018","98","37","23","9"
"412000050006","E A MCALLISTER ELEMENTARY SCHOOL","2018","80","28","14","5"
"412000050007","VERNON-VERONA-SHERRILL MIDDLE SCHOOL","2018","97","34","19","7"
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT","2018","482","36","95","7"
"412201060001","HOLLAND PATENT MIDDLE SCHOOL","2018","116","37","23","7"
"412201060003","HOLLAND PATENT ELEMENTARY SCHOOL","2018","127","41","21","7"
"412201060005","GENERAL WILLIAM FLOYD ELEMENTARY SCHOOL","2018","109","39","21","8"
"412201060006","HOLLAND PATENT CENTRAL HIGH SCHOOL","2018","130","28","30","7"
"412300010000","UTICA CITY SCHOOL DISTRICT","2018","7990","80","280","3"
"412300010003","ALBANY ELEMENTARY SCHOOL","2018","459","74","31","5"
"412300010005","CHRISTOPHER COLUMBUS ELEMENTARY SCHOOL","2018","530","79","32","5"
"412300010006","GENERAL HERKIMER ELEMENTARY SCHOOL","2018","541","75","30","4"
"412300010009","HUGH R JONES ELEMENTARY SCHOOL","2018","270","57","33","7"
"412300010011","MARTIN LUTHER KING JR ELEMENTARY SCHOOL","2018","323","88","7","2"
"412300010012","WATSON WILLIAMS ELEMENTARY SCHOOL","2018","632","87","6","1"
"412300010014","THOMAS JEFFERSON ELEMENTARY SCHOOL","2018","416","74","12","2"
"412300010016","JOHN F HUGHES ELEMENTARY SCHOOL","2018","401","86","7","1"
"412300010018","KERNAN ELEMENTARY SCHOOL","2018","583","87","11","2"
